id,series,block,format,card_num,name,type,class,race,professions,talent,faction,type_tags,rarity,cost,cost_modifier,attack,strike_cost,damage_type,defense,health,rules,wowtcgdb_id,card_image,series_type,ally_faction,talent_restrictions,race_restrictions,profession_restrictions,reputation_restrictions
11,Heroes of Azeroth,Heroes of Azeroth,Classic,011,Kayleitha,Hero,Rogue,Undead,"Mining, Skinning",Subtlety,Horde,,U,0,,0,,,0,27,"Pay 2, Flip Kayleitha >>> While Kayleitha is stealthed, prevent all combat damage that would be dealt to her this turn.",33,HoA_011.jpg,Core,Neutral,,,,
12,Heroes of Azeroth,Heroes of Azeroth,Classic,012,Omedus the Punisher,Hero,Priest,Undead,"Alchemy, Herbalism",Shadow,Horde,,U,0,,0,,Shadow,0,26,"Pay 3, Flip Omedus >>> Omedus deals Shadow damage to target hero equal to 7 minus the number of cards in its controller's hand.",317,HoA_012.jpg,Core,Neutral,,,,
13,Heroes of Azeroth,Heroes of Azeroth,Classic,013,Radak Doombringer,Hero,Warlock,Orc,"Engineering, Mining",Demonology,Horde,,U,0,,0,,Shadow,0,28,"Pay X, Flip Radak Doombringer, Destroy one of your Pets with cost X >>> Radak deals X Shadow damage to target hero or ally. Use only on your turn.",138,HoA_013.jpg,Core,Neutral,,,,
14,Heroes of Azeroth,Heroes of Azeroth,Classic,014,Sen'Zir Beastwalker,Hero,Hunter,Troll,"Skinning, Leatherworking",Beast Mastery,Horde,,U,0,,0,,,0,28,"Pay 3, Flip Sen'zir Beastwalker >>> Put a Pet card from your graveyard into your hand.",217,HoA_014.jpg,Core,Neutral,,,,
15,Heroes of Azeroth,Heroes of Azeroth,Classic,015,Ta'zo ,Hero,Mage,Troll,"Enchanting, Tailoring",Fire,Horde,,U,0,,0,,Fire,0,25,"Pay 3, Flip Ta'zo >>> Ta'zo deals 3 fire damage to target hero or ally. Use only on your turn.",1,HoA_015.jpg,Core,Neutral,,,,
16,Heroes of Azeroth,Heroes of Azeroth,Classic,016,Thangal,Hero,Druid,Tauren,"Enchanting, Engineering",Feral,Horde,,U,0,,0,,,0,28,"Pay 3, Flip Thangal >>> Ready Thangal. Use only while he's in bear form.",238,HoA_016.jpg,Core,Neutral,,,,
17,Heroes of Azeroth,Heroes of Azeroth,Classic,017,Bash,Ability,Druid,,,Feral,Neutral,Instant Form (1),U,2,,0,,,0,0,"Exhaust target hero or ally.
Ongoing: Your hero is in bear form. (Has protector. Destroy this card when you strike with a weapon or play a non-Feral ability.)",181,HoA_017.jpg,Core,Neutral,,,,
18,Heroes of Azeroth,Heroes of Azeroth,Classic,018,Bear Form,Ability,Druid,,,Feral,Neutral,Instant Form (1),U,1,,0,,,0,0,"Ongoing: Your hero is in bear form. (Has protector. Destroy this card when you strike with a weapon or play a non-Feral ability.)
When Bear Form is destroyed, you may pay 2. If you do, put it into your hand at end of turn.",101,HoA_018.jpg,Core,Neutral,,,,
19,Heroes of Azeroth,Heroes of Azeroth,Classic,019,Circle of Life,Ability,Druid,,,Restoration,Neutral,,R,8,,0,,,0,0,"Ongoing: When an ally is destroyed, its controller may search his deck for an ally card with the same name and put it into play exhausted.",134,HoA_019.jpg,Core,Neutral,,,,
20,Heroes of Azeroth,Heroes of Azeroth,Classic,020,Entangling Roots,Ability,Druid,,,Balance,Neutral,,C,2,,0,,,0,0,"Attach to target ally and exhaust it.
Ongoing: Attached ally can't ready during its controller's ready step.",223,HoA_020.jpg,Core,Neutral,,,,
21,Heroes of Azeroth,Heroes of Azeroth,Classic,021,Feral Rage,Ability,Druid,,,Feral,Neutral,,R,5,,0,,,0,0,"Ongoing: When your hero is dealt combat damage while in bear form, you may pay 1. If you do, draw a card.",271,HoA_021.jpg,Core,Neutral,,,,
22,Heroes of Azeroth,Heroes of Azeroth,Classic,022,Healing Touch,Ability,Druid,,,Restoration,Neutral,,U,3,,0,,,0,0,Your hero heals 10 damage from target hero or ally.,328,HoA_022.jpg,Core,Neutral,,,,
23,Heroes of Azeroth,Heroes of Azeroth,Classic,023,Innervate,Ability,Druid,,,Restoration,Neutral,Instant  ,R,4,,0,,,0,0,Target player draws three cards.,61,HoA_023.jpg,Core,Neutral,,,,
24,Heroes of Azeroth,Heroes of Azeroth,Classic,024,Mark of the Wild,Ability,Druid,,,Restoration,Neutral,Instant  ,C,2,,0,,,0,0,"Attach to target ally.
Ongoing: Attached ally has +2 ATK and +2 health.",81,HoA_024.jpg,Core,Neutral,,,,
25,Heroes of Azeroth,Heroes of Azeroth,Classic,025,Maul,Ability,Druid,,,Feral,Neutral,Instant Form (1),U,2,,0,,,0,0,"Your hero has +1 ATK this turn.
Ongoing: Your hero is in bear form. (Has protector. Destroy this card when you strike with a weapon or play a non-Feral ability.)",272,HoA_025.jpg,Core,Neutral,,,,
26,Heroes of Azeroth,Heroes of Azeroth,Classic,026,Natural Defenses ,Ability,Druid,,,Feral,Neutral,Instant  ,R,1,,0,,,0,0,Ongoing: Each of your Armor has +1 DEF while your hero is in Bear form.,355,HoA_026.jpg,Core,Neutral,,,,
27,Heroes of Azeroth,Heroes of Azeroth,Classic,027,Natural Selection,Ability,Druid,,,Restoration,Neutral,Instant  ,C,3,,0,,Nature,0,0,Choose one: Your hero deals 3 Nature damage to target hero or ally or your hero heals 3 damage from target hero or ally.,209,HoA_027.jpg,Core,Neutral,,,,
28,Heroes of Azeroth,Heroes of Azeroth,Classic,028,Nature's Swiftness,Ability,Druid,,,Restoration,Neutral,Talent ,R,3,,0,,,0,0,"Restoration Hero Required
You pay 5 less to play your next card this turn.",343,HoA_028.jpg,Core,Neutral,Restoration,,,
29,Heroes of Azeroth,Heroes of Azeroth,Classic,029,Predatory Strikes,Ability,Druid,,,Feral,Neutral,Talent ,R,1,,0,,,0,0,"Feral Hero Required
Ongoing: While your hero is in bear form or cat form, it has +2 ATK while attacking.",191,HoA_029.jpg,Core,Neutral,Feral,,,
30,Heroes of Azeroth,Heroes of Azeroth,Classic,030,Primal Mending,Ability,Druid,,,Restoration,Neutral,Instant  ,U,1,,0,,,0,0,"Attach to target ally, and your hero heals 2 damage from it.
Ongoing: At the end of each turn, your hero heals 1 damage from attached ally. ",183,HoA_030.jpg,Core,Neutral,,,,
31,Heroes of Azeroth,Heroes of Azeroth,Classic,031,Starfire,Ability,Druid,,,Balance,Neutral,,R,6,,0,,Arcane,0,0,"Your hero deals 5 arcane damage to target hero or ally.
Draw a card.",189,HoA_031.jpg,Core,Neutral,,,,
32,Heroes of Azeroth,Heroes of Azeroth,Classic,032,Aimed Shot,Ability,Hunter,,,Marksmanship,Neutral,Talent ,R,1,+x,0,,Ranged,0,0,"Marksmanship Hero Required
Your hero deals X Ranged damage to target hero or ally.",39,HoA_032.jpg,Core,Neutral,Marksmanship,,,
33,Heroes of Azeroth,Heroes of Azeroth,Classic,033,Arcane Shot,Ability,Hunter,,,Marksmanship,Neutral,Instant  ,C,2,,0,,Arcane,0,0,"Your hero deals 1 Arcane damage to target hero or ally.
Draw a card.",273,HoA_033.jpg,Core,Neutral,,,,
34,Heroes of Azeroth,Heroes of Azeroth,Classic,034,Aspect of the Hawk,Ability,Hunter,,,Beast Mastery,Neutral,,R,3,,0,,,0,0,"Ongoing: If your hero would deal Ranged damage, it deals that amount of damage plus 1 instead.",41,HoA_034.jpg,Core,Neutral,,,,
35,Heroes of Azeroth,Heroes of Azeroth,Classic,035,Beastial Wrath,Ability,Hunter,,,Beast Mastery,Neutral,Instant Talent ,R,1,,0,,,0,0,"Beast Mastery Hero Required
Target Pet has +3 ATK this turn. Prevent all damage that would be dealt to it this turn.",274,HoA_035.jpg,Core,Neutral,Beast Mastery,,,
36,Heroes of Azeroth,Heroes of Azeroth,Classic,036,Bloodclaw,Ally,Hunter,Raptor,,,Neutral,Pet (1),C,1,,3,,Melee,0,1,,218,HoA_036.jpg,Core,Neutral,,,,
37,Heroes of Azeroth,Heroes of Azeroth,Classic,037,Eagle Eye,Ability,Hunter,,,Beast Mastery,Neutral,Instant  ,U,2,,0,,,0,0,Look at the top four cards of your deck. Put one into your hand and the rest on the bottom of your deck.,296,HoA_037.jpg,Core,Neutral,,,,
38,Heroes of Azeroth,Heroes of Azeroth,Classic,038,Fury,Ally,Hunter,Cat,,,Neutral,Pet (1),R,5,,5,,Melee,0,3,Ferocity,136,HoA_038.jpg,Core,Neutral,,,,
39,Heroes of Azeroth,Heroes of Azeroth,Classic,039,Marked for Death,Ability,Hunter ,,,Marksmanship,Neutral,Instant  ,U,2,,0,,,0,0,"Attach to target opposing hero or ally.
Ongoing: Allies in your party have +1 ATK while attacking attached character.",344,HoA_039.jpg,Core,Neutral,,,,
40,Heroes of Azeroth,Heroes of Azeroth,Classic,040,Master of the Hunt,Ability,Hunter ,,,Beast Mastery,Neutral,,R,3,,0,,,0,0,Ongoing: Your Pets have +2 ATK and +2 health.,194,HoA_040.jpg,Core,Neutral,,,,
41,Heroes of Azeroth,Heroes of Azeroth,Classic,041,Multi-shot,Ability,Hunter ,,,Marksmanship,Neutral,Instant  ,R,5,,0,,Ranged,0,0,Your hero deals 2 ranged damage to each of up to three target heroes and/or allies.,145,HoA_041.jpg,Core,Neutral,,,,
42,Heroes of Azeroth,Heroes of Azeroth,Classic,042,Old Bones,Ally,Hunter,Bear,,,Neutral,Pet (1),U,4,,4,,Melee,0,4,Old Bones can protect your hero.,260,HoA_042.jpg,Core,Neutral,,,,
43,Heroes of Azeroth,Heroes of Azeroth,Classic,043,Rapid Fire,Ability,Hunter,,,Marksmanship,Neutral,,R,2,,0,,,0,0,"Whenever you strike with a Ranged weapon this turn, you may pay 1. If you do, ready that weapon and your hero.",146,HoA_043.jpg,Core,Neutral,,,,
44,Heroes of Azeroth,Heroes of Azeroth,Classic,044,Ravenous Bite,Ability,Hunter,,,Beast Mastery,Neutral,Instant  ,C,2,,0,,,0,0,"Target ally has +3 ATK this turn.
Target ally has -3 ATK this turn.",299,HoA_044.jpg,Core,Neutral,,,,
45,Heroes of Azeroth,Heroes of Azeroth,Classic,045,Rayder,Ally,Hunter,Wolf,,,Neutral,Pet (1),U,2,,2,,Melee,0,2,[Activate] >>> Allies in your party have +2 ATK while attacking this turn.,325,HoA_045.jpg,Core,Neutral,,,,
46,Heroes of Azeroth,Heroes of Azeroth,Classic,046,Track Humanoids,Ability,Hunter,,,Survival,Neutral,,U,2,,0,,,0,0,"Ongoing: At the start of your turn, look at the top card of your deck. You may put it on the bottom of your deck.",315,HoA_046.jpg,Core,Neutral,,,,
47,Heroes of Azeroth,Heroes of Azeroth,Classic,047,Arcane Intellect,Ability,Mage,,,Arcane,Neutral,Instant  ,U,2,,0,,,0,0,"Attach to target hero, and its controller draws a card.
Ongoing: Attached hero's controller's maximum hand size is increased by three.",40,HoA_047.jpg,Core,Neutral,,,,
48,Heroes of Azeroth,Heroes of Azeroth,Classic,048,Blink,Ability,Mage,,,Arcane,Neutral,Instant  ,C,2,,0,,,0,0,"Draw a card.
If your hero is defending, remove all attackers from combat.",147,HoA_048.jpg,Core,Neutral,,,,
49,Heroes of Azeroth,Heroes of Azeroth,Classic,049,Brain Freeze,Ability,Mage,,,Frost,Neutral,Instant  ,R,3,,0,,,0,0,Players can't draw cards this turn.,337,HoA_049.jpg,Core,Neutral,,,,
50,Heroes of Azeroth,Heroes of Azeroth,Classic,050,Cold Snap,Ability,Mage,,,Frost,Neutral,Instant Talent ,R,2,+x,0,,,0,0,"Frost Hero Required 
Remove Cold Snap from the game. 
Put up to X Frost ability cards with different names from your graveyard into your hand.",135,HoA_050.jpg,Core,Neutral,Frost,,,
51,Heroes of Azeroth,Heroes of Azeroth,Classic,051,Counterspell,Ability,Mage,,,Arcane,Neutral,Instant  ,R,2,,0,,,0,0,Interrupt target ability card.,305,HoA_051.jpg,Core,Neutral,,,,
52,Heroes of Azeroth,Heroes of Azeroth,Classic,052,Fire Blast,Ability,Mage,,,Fire,Neutral,Instant  ,C,1,,0,,Fire,0,0,Your hero deals 2 fire damage to target hero or ally.,91,HoA_052.jpg,Core,Neutral,,,,
53,Heroes of Azeroth,Heroes of Azeroth,Classic,053,Fireball,Ability,Mage,,,Fire,Neutral,,U,4,,0,,Fire,0,0,"Attach to target hero or ally, and your hero deals 4 fire damage to it.
Ongoing: At the start of your turn, your hero deals 1 fire damage to attached character.",90,HoA_053.jpg,Core,Neutral,,,,
54,Heroes of Azeroth,Heroes of Azeroth,Classic,054,Flamestrike,Ability,Mage,,,Fire,Neutral,,R,7,,0,,Fire,0,0,Your hero deals 3 fire damage to each opposing hero and ally.,92,HoA_054.jpg,Core,Neutral,,,,
55,Heroes of Azeroth,Heroes of Azeroth,Classic,055,Frost Nova,Ability,Mage,,,Frost,Neutral,Instant  ,R,4,,0,,Frost,0,0,Your hero deals 1 frost damage to each opposing hero and ally. A character dealt damage this way can't attack this turn.,76,HoA_055.jpg,Core,Neutral,,,,
56,Heroes of Azeroth,Heroes of Azeroth,Classic,056,Frostbolt,Ability,Mage,,,Frost,Neutral,Instant  ,U,3,,0,,Frost,0,0,Your hero deals 3 frost damage to target hero or ally. A character dealt damage this way can't attack this turn.,65,HoA_056.jpg,Core,Neutral,,,,
57,Heroes of Azeroth,Heroes of Azeroth,Classic,057,Mana Agate,Ability,Mage,,,Arcane,Neutral,,U,2,,0,,,0,0,"Ongoing: Pay 1, Destroy Mana Agate >>> Draw two cards.",113,HoA_057.jpg,Core,Neutral,,,,
58,Heroes of Azeroth,Heroes of Azeroth,Classic,058,Polymorph,Ability,Mage,,,Arcane,Neutral,,C,2,,0,,,0,0,"Attach to target ally.
Attached ally can't attack or protect, loses all powers, and is a Sheep.",54,HoA_058.jpg,Core,Neutral,,,,
59,Heroes of Azeroth,Heroes of Azeroth,Classic,059,Pyroblast,Ability,Mage,,,Fire,Neutral,Talent ,R,8,,0,,Fire,0,0,"Fire Hero Required
Attach to target hero or ally, and your hero deals 6 fire damage to it. 
Ongoing: At the start of your turn, your hero deals 2 fire damage to attached character.",84,HoA_059.jpg,Core,Neutral,Fire,,,
60,Heroes of Azeroth,Heroes of Azeroth,Classic,060,Winter's Grasp,Ability,Mage,,,Frost,Neutral,,U,3,,0,,,0,0,Ongoing: Opposing allies can't attack heroes or allies in your party unless their controller pays 1 for each attacker.,23,HoA_060.jpg,Core,Neutral,,,,
61,Heroes of Azeroth,Heroes of Azeroth,Classic,061,World in Flames,Ability,Mage,,,Fire,Neutral,,R,8,,0,,,0,0,"Ongoing: If your hero would deal fire damage, it deals double that amount of damage instead.",220,HoA_061.jpg,Core,Neutral,,,,
62,Heroes of Azeroth,Heroes of Azeroth,Classic,062,Blessing of Might,Ability,Paladin,,,Retribution,Neutral,Instant Blessing,U,2,,0,,,0,0,"Attach to target hero or ally. 
Ongoing: Attached character has +1 ATK while attacking.",149,HoA_062.jpg,Core,Neutral,,,,
63,Heroes of Azeroth,Heroes of Azeroth,Classic,063,Blessing of Protection,Ability,Paladin,,,Protection,Neutral,Instant Blessing,U,2,,0,,,0,0,"Attach to target hero or ally in your party. 
Ongoing: Prevent all damage that would be dealt to and dealt by attached character. 
At end of turn, destroy Blessing of Protection.",151,HoA_063.jpg,Core,Neutral,,,,
64,Heroes of Azeroth,Heroes of Azeroth,Classic,064,Blessing of Wisdom,Ability,Paladin,,,Holy,Neutral,Instant Blessing,R,5,,0,,,0,0,"Attach to target hero or ally. 
Ongoing: Attached character has ""[Activate] >>> Draw a card.""",229,HoA_064.jpg,Core,Neutral,,,,
65,Heroes of Azeroth,Heroes of Azeroth,Classic,065,Cleanse,Ability,Paladin,,,Holy,Neutral,Instant  ,U,1,,0,,,0,0,Destroy any number of abilities attached to target friendly hero or ally.,152,HoA_065.jpg,Core,Neutral,,,,
66,Heroes of Azeroth,Heroes of Azeroth,Classic,066,Devotion Aura,Ability,Paladin,,,Protection,Neutral,Aura (1),R,5,,0,,,0,0,"Ongoing: If a hero or ally in your party would be dealt damage, prevent 1 of that damage.",68,HoA_066.jpg,Core,Neutral,,,,
67,Heroes of Azeroth,Heroes of Azeroth,Classic,067,Divine Shield,Ability,Paladin,,,Holy,Neutral,Instant  ,R,3,,0,,,0,0,"Destroy any number of abilities attached to your hero. 
Prevent all damage that would be dealt to your hero this turn. 
Your hero can't be targeted by opponents this turn.",153,HoA_067.jpg,Core,Neutral,,,,
68,Heroes of Azeroth,Heroes of Azeroth,Classic,068,Hammer of Justice,Ability,Paladin,,,Protection,Neutral,Instant  ,C,2,,0,,,0,0,"Exhaust target hero or ally. It can't ready during its controller's next ready step.
Draw a card.",150,HoA_068.jpg,Core,Neutral,,,,
69,Heroes of Azeroth,Heroes of Azeroth,Classic,069,Holy Light,Ability,Paladin,,,Holy,Neutral,,C,3,,0,,,0,0,"Your hero heals 5 damage from target hero or ally.
Draw a card.",294,HoA_069.jpg,Core,Neutral,,,,
70,Heroes of Azeroth,Heroes of Azeroth,Classic,070,Holy Shield,Ability,Paladin,,,Protection,Neutral,Instant Talent ,R,2,,0,,Holy,0,0,"Protection Hero Required
Prevent the next 5 damage that would be dealt to your hero by target hero or ally this turn. When damage is prevented this way, your hero deals that amount of holy damage to that character.",275,HoA_070.jpg,Core,Neutral,Protection,,,
71,Heroes of Azeroth,Heroes of Azeroth,Classic,071,Retribution Aura,Ability,Paladin,,,Retribution,Neutral,Aura (1),R,5,,0,,Holy,0,0,"Ongoing: When a hero or ally in your party is dealt combat damage, it deals 1 holy damage to the source of that combat damage.",71,HoA_071.jpg,Core,Neutral,,,,
72,Heroes of Azeroth,Heroes of Azeroth,Classic,072,Sacred Duty,Ability,Paladin,,,Protection,Neutral,,C,3,,0,,,0,0,"Ongoing: Your hero has protector.
When your hero protects, it heals 1 damage from itself.",226,HoA_072.jpg,Core,Neutral,,,,
73,Heroes of Azeroth,Heroes of Azeroth,Classic,073,Seal of Light,Ability,Paladin,,,Holy,Neutral,Seal (1),U,3,,0,,,0,0,"Ongoing: When your hero deals combat damage with a weapon, it heals 2 damage from itself. 
Pay 1, Destroy Seal of Light >>> Your hero heals 4 damage from itself.",212,HoA_073.jpg,Core,Neutral,,,,
74,Heroes of Azeroth,Heroes of Azeroth,Classic,074,Seal of Wisdom,Ability,Paladin,,,Holy,Neutral,Seal (1),R,3,,0,,,0,0,"Ongoing: When your hero deals combat damage with a weapon, draw a card. 
Pay 1, Destroy Seal of Wisdom >>> Draw a card.",15,HoA_074.jpg,Core,Neutral,,,,
75,Heroes of Azeroth,Heroes of Azeroth,Classic,075,Touched by Light,Ability,Paladin,,,Holy,Neutral,,U,1,,0,,,0,0,"Your hero heals 1 damage from target hero or ally.
Draw a card.",322,HoA_075.jpg,Core,Neutral,,,,
76,Heroes of Azeroth,Heroes of Azeroth,Classic,076,Chastise,Ability,Priest,,,Holy,Neutral,,U,2,,0,,Holy,0,0,Your hero deals 2 holy damage to target hero or ally. That damage can't be prevented.,308,HoA_076.jpg,Core,Neutral,,,,
77,Heroes of Azeroth,Heroes of Azeroth,Classic,077,Dispel Magic,Ability,Priest,,,Discipline,Neutral,Instant  ,U,1,,0,,,0,0,Destroy target ability.,154,HoA_077.jpg,Core,Neutral,,,,
78,Heroes of Azeroth,Heroes of Azeroth,Classic,078,Flash Heal,Ability,Priest,,,Holy,Neutral,Instant  ,C,1,,0,,,0,0,Your hero heals 4 damage from target hero or ally.,155,HoA_078.jpg,Core,Neutral,,,,
79,Heroes of Azeroth,Heroes of Azeroth,Classic,079,Heal,Ability,Priest,,,Holy,Neutral,,U,2,,0,,,0,0,Your hero heals 7 damage from target hero or ally.,345,HoA_079.jpg,Core,Neutral,,,,
80,Heroes of Azeroth,Heroes of Azeroth,Classic,080,Mind Blast,Ability,Priest,,,Shadow,Neutral,,R,5,,0,,Shadow,0,0,Your hero deals 2 shadow damage to target hero or ally. Its controller discards a card for each damage dealt.,156,HoA_080.jpg,Core,Neutral,,,,
81,Heroes of Azeroth,Heroes of Azeroth,Classic,081,Mind Control,Ability,Priest,,,Shadow,Neutral,,R,2,+x,0,,,0,0,"Attach to target ally with cost X.
Ongoing: You control attached ally.
When you play a card, destroy Mind Control.",157,HoA_081.jpg,Core,Neutral,,,,
82,Heroes of Azeroth,Heroes of Azeroth,Classic,082,Mind Spike,Ability,Priest,,,Shadow,Neutral,,C,2,,0,,Shadow,0,0,Your hero deals 1 shadow damage to target hero or ally. Its controller discards a card for each damage dealt.,354,HoA_082.jpg,Core,Neutral,,,,
83,Heroes of Azeroth,Heroes of Azeroth,Classic,083,Power Word: Fortitude,Ability,Priest,,,Discipline,Neutral,,C,3,,0,,,0,0,"Attach to target hero or ally.
Ongoing: Attached character has +5 health.",82,HoA_083.jpg,Core,Neutral,,,,
84,Heroes of Azeroth,Heroes of Azeroth,Classic,084,Prayer of Healing ,Ability,Priest,,,Holy,Neutral,,U,3,,0,,,0,0,Your hero heals 3 damage from each hero and ally in your party.,158,HoA_084.jpg,Core,Neutral,,,,
85,Heroes of Azeroth,Heroes of Azeroth,Classic,085,Psychic Scream,Ability,Priest,,,Shadow,Neutral,Instant  ,R,6,,0,,,0,0,Each opponent puts three allies from his party into their owners' hands.,159,HoA_085.jpg,Core,Neutral,,,,
86,Heroes of Azeroth,Heroes of Azeroth,Classic,086,Resurrection,Ability,Priest,,,Holy,Neutral,,R,4,,0,,,0,0,Put target ally card from your graveyard into play if its cost is less than or equal to the number of resources you have.,177,HoA_086.jpg,Core,Neutral,,,,
87,Heroes of Azeroth,Heroes of Azeroth,Classic,087,Shadow Word: Pain,Ability,Priest,,,Shadow,Neutral,Instant  ,U,3,,0,,Shadow,0,0,"Attach to target hero or ally, and its controller discards a card. 
Ongoing: At the start of your turn, your hero deals 1 shadow damage to attached character.",309,HoA_087.jpg,Core,Neutral,,,,
88,Heroes of Azeroth,Heroes of Azeroth,Classic,088,Shadowform,Ability,Priest,,,Shadow,Neutral,Talent Form (1),R,3,,0,,,0,0,"Shadow Hero Required
Ongoing: If your hero would deal shadow damage, it deals that amount of damage plus 1 instead.
When you play a Holy ability, destroy Shadowform.",160,HoA_088.jpg,Core,Neutral,Shadow,,,
89,Heroes of Azeroth,Heroes of Azeroth,Classic,089,Smite,Ability,Priest,,,Holy,Neutral,,R,5,,0,,Holy,0,0,Your hero deals 4 holy damage to target hero or ally. That damage can't be prevented.,188,HoA_089.jpg,Core,Neutral,,,,
90,Heroes of Azeroth,Heroes of Azeroth,Classic,090,Spiritual Healing,Ability,Priest,,,Holy,Neutral,Talent ,R,2,,0,,,0,0,"Holy Hero Required
Ongoing: When you play a Holy ability, your hero heals 2 damage from target hero or ally.",20,HoA_090.jpg,Core,Neutral,Holy,,,
91,Heroes of Azeroth,Heroes of Azeroth,Classic,091,Backstab,Ability,Rogue,,,Combat,Neutral,Instant Combo ,R,3,,0,,Melee,0,0,"Your hero deals X melee damage to target exhausted hero or ally, where X is 3 plus the ATK of one of your Daggers.",19,HoA_091.jpg,Core,Neutral,,,,
92,Heroes of Azeroth,Heroes of Azeroth,Classic,092,Cold Blood,Ability,Rogue,,,Assassination,Neutral,Instant Talent ,R,1,,0,,,0,0,"Assassination Hero Required
Draw a card.
When your hero deals damage to an ally this turn, destroy that ally.",161,HoA_092.jpg,Core,Neutral,Assassination,,,
93,Heroes of Azeroth,Heroes of Azeroth,Classic,093,Coup de Grace,Ability,Rogue,,,Assassination,Neutral,,C,2,,0,,,0,0,Destroy target exhausted ally.,276,HoA_093.jpg,Core,Neutral,,,,
94,Heroes of Azeroth,Heroes of Azeroth,Classic,094,Crippling Poison,Ability,Rogue,,,Poison,Neutral,Instant  ,U,1,,0,,,0,0,"Attach to target hero or ally that was dealt combat damage by your hero this turn.
Ongoing: At the start of each turn, exhaust attached character unless its controller pays 3.",162,HoA_094.jpg,Core,Neutral,,,,
95,Heroes of Azeroth,Heroes of Azeroth,Classic,095,Deadly Poison,Ability,Rogue,,,Poison,Neutral,Instant  ,U,1,,0,,Nature,0,0,"Attach to target hero or ally that was dealt combat damage by your hero this turn.
Ongoing: At the start of your turn, your hero deals 2 nature damage to attached character.",224,HoA_095.jpg,Core,Neutral,,,,
96,Heroes of Azeroth,Heroes of Azeroth,Classic,096,Dismantle ,Ability,Rogue,,,Combat,Neutral,,U,2,,0,,,0,0,Destroy target equipment.,304,HoA_096.jpg,Core,Neutral,,,,
